iter	Passed	Remaining
942	34288	2072
943	34323	2036
944	34359	1999
945	34397	1963
946	34431	1926
947	34464	1890
948	34501	1854
949	34534	1817
950	34583	1781
951	34619	1745
952	34654	1709
953	34688	1672
954	34730	1636
955	34764	1600
956	34801	1563
957	34836	1527
958	34872	1490
959	34912	1454
960	34951	1418
961	34991	1382
962	35036	1346
963	35076	1309
964	35119	1273
965	35159	1237
966	35202	1201
967	35257	1165
968	35298	1129
969	35336	1092
970	35380	1056
971	35422	1020
972	35473	984
973	35511	947
974	35555	911
975	35601	875
976	35642	839
977	35682	802
978	35723	766
979	35763	729
980	35805	693
981	35842	656
982	35882	620
983	35919	584
984	35958	547
985	35995	511
986	36030	474
987	36066	438
988	36100	401
989	36135	365
990	36169	328
991	36204	291
992	36240	255
993	36276	218
994	36311	182
995	36344	145
996	36377	109
997	36413	72
998	36448	36
999	36482	0
